date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-08-14T00:00:00.000Z,6.31,6.37,6.08,6.24,2358912,6.31,6.37,6.08,6.24,2358912,0.0,1.0
2023-08-15T00:00:00.000Z,6.09,6.28,6.07,6.26,2739196,6.09,6.28,6.07,6.26,2739196,0.0,1.0
2023-08-16T00:00:00.000Z,5.88,6.105,5.87,6.03,3133090,5.88,6.105,5.87,6.03,3133090,0.0,1.0
2023-08-17T00:00:00.000Z,5.56,5.95,5.55,5.9,4678236,5.56,5.95,5.55,5.9,4678236,0.0,1.0
2023-08-18T00:00:00.000Z,5.86,5.9299,5.36,5.43,4287672,5.86,5.9299,5.36,5.43,4287672,0.0,1.0
2023-08-21T00:00:00.000Z,5.88,5.98,5.82,5.94,2618672,5.88,5.98,5.82,5.94,2618672,0.0,1.0
2023-08-22T00:00:00.000Z,5.83,6.0,5.655,5.93,2379728,5.83,6.0,5.655,5.93,2379728,0.0,1.0
2023-08-23T00:00:00.000Z,5.93,6.01,5.83,5.83,2294773,5.93,6.01,5.83,5.83,2294773,0.0,1.0
2023-08-24T00:00:00.000Z,5.65,6.0794,5.6,6.03,2961239,5.65,6.0794,5.6,6.03,2961239,0.0,1.0
2023-08-25T00:00:00.000Z,5.79,5.875,5.63,5.7,2697234,5.79,5.875,5.63,5.7,2697234,0.0,1.0
2023-08-28T00:00:00.000Z,5.93,6.0299,5.831,5.88,2290727,5.93,6.0299,5.831,5.88,2290727,0.0,1.0
2023-08-29T00:00:00.000Z,6.17,6.27,5.84,5.87,2886656,6.17,6.27,5.84,5.87,2886656,0.0,1.0
2023-08-30T00:00:00.000Z,6.38,6.45,6.1199,6.16,2888646,6.38,6.45,6.1199,6.16,2888646,0.0,1.0
2023-08-31T00:00:00.000Z,6.31,6.49,6.22,6.37,3242224,6.31,6.49,6.22,6.37,3242224,0.0,1.0
2023-09-01T00:00:00.000Z,6.34,6.48,6.27,6.38,2326432,6.34,6.48,6.27,6.38,2326432,0.0,1.0
2023-09-05T00:00:00.000Z,6.53,6.595,6.29,6.31,2943792,6.53,6.595,6.29,6.31,2943792,0.0,1.0
2023-09-06T00:00:00.000Z,6.41,6.58,6.3,6.51,2040159,6.41,6.58,6.3,6.51,2040159,0.0,1.0
2023-09-07T00:00:00.000Z,6.32,6.36,6.06,6.29,2504603,6.32,6.36,6.06,6.29,2504603,0.0,1.0
2023-09-08T00:00:00.000Z,6.2,6.335,6.14,6.3,2350360,6.2,6.335,6.14,6.3,2350360,0.0,1.0
2023-09-11T00:00:00.000Z,6.04,6.35,6.03,6.26,3519954,6.04,6.35,6.03,6.26,3519954,0.0,1.0
2023-09-12T00:00:00.000Z,5.305,5.83,5.2724,5.81,12847445,5.305,5.83,5.2724,5.81,12847445,0.0,1.0
2023-09-13T00:00:00.000Z,5.365,5.48,5.23,5.465,5675191,5.365,5.48,5.23,5.465,5675191,0.0,1.0
2023-09-14T00:00:00.000Z,5.26,5.43,5.21,5.36,4963557,5.26,5.43,5.21,5.36,4963557,0.0,1.0
2023-09-15T00:00:00.000Z,5.12,5.285,5.06,5.25,13269019,5.12,5.285,5.06,5.25,13269019,0.0,1.0
2023-09-18T00:00:00.000Z,5.04,5.22,5.02,5.1,3402651,5.04,5.22,5.02,5.1,3402651,0.0,1.0
2023-09-19T00:00:00.000Z,4.66,4.7571,4.17,4.26,17140808,4.66,4.7571,4.17,4.26,17140808,0.0,1.0
2023-09-20T00:00:00.000Z,4.42,4.64,4.39,4.62,6338896,4.42,4.64,4.39,4.62,6338896,0.0,1.0
2023-09-21T00:00:00.000Z,4.48,4.57,4.25,4.34,5165065,4.48,4.57,4.25,4.34,5165065,0.0,1.0
2023-09-22T00:00:00.000Z,4.48,4.67,4.455,4.54,3695933,4.48,4.67,4.455,4.54,3695933,0.0,1.0
2023-09-25T00:00:00.000Z,4.35,4.5,4.31,4.47,4554185,4.35,4.5,4.31,4.47,4554185,0.0,1.0
2023-09-26T00:00:00.000Z,4.24,4.435,4.22,4.34,3480290,4.24,4.435,4.22,4.34,3480290,0.0,1.0
2023-09-27T00:00:00.000Z,4.3,4.33,4.19,4.2,4091295,4.3,4.33,4.19,4.2,4091295,0.0,1.0
2023-09-28T00:00:00.000Z,4.34,4.42,4.24,4.31,3361744,4.34,4.42,4.24,4.31,3361744,0.0,1.0
2023-09-29T00:00:00.000Z,4.38,4.57,4.32,4.4,3058283,4.38,4.57,4.32,4.4,3058283,0.0,1.0
2023-10-02T00:00:00.000Z,4.39,4.42,4.29,4.4,2906979,4.39,4.42,4.29,4.4,2906979,0.0,1.0
2023-10-03T00:00:00.000Z,4.17,4.37,4.13,4.35,3802053,4.17,4.37,4.13,4.35,3802053,0.0,1.0
2023-10-04T00:00:00.000Z,4.31,4.34,4.14,4.23,2565520,4.31,4.34,4.14,4.23,2565520,0.0,1.0
2023-10-05T00:00:00.000Z,4.45,4.475,4.26,4.32,2639290,4.45,4.475,4.26,4.32,2639290,0.0,1.0
2023-10-06T00:00:00.000Z,4.5,4.53,4.351,4.39,3451096,4.5,4.53,4.351,4.39,3451096,0.0,1.0
2023-10-09T00:00:00.000Z,4.62,4.65,4.41,4.41,3348766,4.62,4.65,4.41,4.41,3348766,0.0,1.0
2023-10-10T00:00:00.000Z,4.86,5.02,4.652,4.66,4345349,4.86,5.02,4.652,4.66,4345349,0.0,1.0
2023-10-11T00:00:00.000Z,4.83,5.07,4.76,4.95,3619975,4.83,5.07,4.76,4.95,3619975,0.0,1.0
2023-10-12T00:00:00.000Z,4.42,4.88,4.355,4.87,4566748,4.42,4.88,4.355,4.87,4566748,0.0,1.0
2023-10-13T00:00:00.000Z,4.29,4.48,4.23,4.46,3803410,4.29,4.48,4.23,4.46,3803410,0.0,1.0
2023-10-16T00:00:00.000Z,4.46,4.5,4.24,4.28,3162760,4.46,4.5,4.24,4.28,3162760,0.0,1.0
2023-10-17T00:00:00.000Z,4.48,4.53,4.32,4.36,2835592,4.48,4.53,4.32,4.36,2835592,0.0,1.0
2023-10-18T00:00:00.000Z,4.25,4.43,4.2,4.38,2860805,4.25,4.43,4.2,4.38,2860805,0.0,1.0
2023-10-19T00:00:00.000Z,4.21,4.345,4.19,4.29,2846709,4.21,4.345,4.19,4.29,2846709,0.0,1.0
2023-10-20T00:00:00.000Z,4.09,4.215,4.06,4.2,3146766,4.09,4.215,4.06,4.2,3146766,0.0,1.0
2023-10-23T00:00:00.000Z,4.11,4.2298,4.0,4.08,3143872,4.11,4.2298,4.0,4.08,3143872,0.0,1.0
2023-10-24T00:00:00.000Z,4.14,4.28,4.105,4.19,1977056,4.14,4.28,4.105,4.19,1977056,0.0,1.0
2023-10-25T00:00:00.000Z,4.09,4.19,4.06,4.09,2225886,4.09,4.19,4.06,4.09,2225886,0.0,1.0
2023-10-26T00:00:00.000Z,4.28,4.3479,4.19,4.21,3093817,4.28,4.3479,4.19,4.21,3093817,0.0,1.0
2023-10-27T00:00:00.000Z,4.16,4.3661,4.14,4.31,2275651,4.16,4.3661,4.14,4.31,2275651,0.0,1.0
2023-10-30T00:00:00.000Z,4.2,4.28,4.11,4.2,2317841,4.2,4.28,4.11,4.2,2317841,0.0,1.0
2023-10-31T00:00:00.000Z,4.23,4.25,4.115,4.19,1947902,4.23,4.25,4.115,4.19,1947902,0.0,1.0
2023-11-01T00:00:00.000Z,4.24,4.26,4.12,4.21,1998630,4.24,4.26,4.12,4.21,1998630,0.0,1.0
2023-11-02T00:00:00.000Z,4.59,4.64,4.33,4.33,3824968,4.59,4.64,4.33,4.33,3824968,0.0,1.0
2023-11-03T00:00:00.000Z,4.61,4.81,4.59,4.71,3381041,4.61,4.81,4.59,4.71,3381041,0.0,1.0
2023-11-06T00:00:00.000Z,4.35,4.65,4.33,4.63,2412308,4.35,4.65,4.33,4.63,2412308,0.0,1.0
2023-11-07T00:00:00.000Z,4.5,4.51,4.27,4.33,2078649,4.5,4.51,4.27,4.33,2078649,0.0,1.0
2023-11-08T00:00:00.000Z,4.36,4.52,4.35,4.52,2413468,4.36,4.52,4.35,4.52,2413468,0.0,1.0
2023-11-09T00:00:00.000Z,4.28,4.55,4.21,4.54,4978385,4.28,4.55,4.21,4.54,4978385,0.0,1.0
2023-11-10T00:00:00.000Z,4.37,4.4,4.21,4.32,2553665,4.37,4.4,4.21,4.32,2553665,0.0,1.0
2023-11-13T00:00:00.000Z,4.33,4.39,4.26,4.38,2034504,4.33,4.39,4.26,4.38,2034504,0.0,1.0
2023-11-14T00:00:00.000Z,4.32,4.64,4.2,4.5,24910167,4.32,4.64,4.2,4.5,24910167,0.0,1.0
2023-11-15T00:00:00.000Z,4.4,4.65,4.31,4.38,8002336,4.4,4.65,4.31,4.38,8002336,0.0,1.0
2023-11-16T00:00:00.000Z,4.22,4.4,4.14,4.37,4810439,4.22,4.4,4.14,4.37,4810439,0.0,1.0
2023-11-17T00:00:00.000Z,4.21,4.305,4.15,4.26,3915995,4.21,4.305,4.15,4.26,3915995,0.0,1.0
2023-11-20T00:00:00.000Z,4.31,4.39,4.26,4.29,4659262,4.31,4.39,4.26,4.29,4659262,0.0,1.0
2023-11-21T00:00:00.000Z,4.21,4.32,4.17,4.32,2836287,4.21,4.32,4.17,4.32,2836287,0.0,1.0
2023-11-22T00:00:00.000Z,4.26,4.31,4.19,4.22,2594577,4.26,4.31,4.19,4.22,2594577,0.0,1.0
2023-11-24T00:00:00.000Z,4.38,4.41,4.2,4.28,1984894,4.38,4.41,4.2,4.28,1984894,0.0,1.0
2023-11-27T00:00:00.000Z,4.27,4.41,4.25,4.37,2789111,4.27,4.41,4.25,4.37,2789111,0.0,1.0
2023-11-28T00:00:00.000Z,4.4,4.41,4.16,4.3,3847769,4.4,4.41,4.16,4.3,3847769,0.0,1.0
2023-11-29T00:00:00.000Z,4.39,4.64,4.35,4.5,4889973,4.39,4.64,4.35,4.5,4889973,0.0,1.0
2023-11-30T00:00:00.000Z,4.38,4.505,4.34,4.41,3073684,4.38,4.505,4.34,4.41,3073684,0.0,1.0
